age,gender,sleep_start,sleep_end,sleep_quality,exercise_time,caffeine,screen_time_before_bed,work_hours,productivity_score,mood_score,stress_score
19,Female,23:00,10:06,9,10,190,3,4,7,8,3
21,Male,1:20,7:40,9,10,50,40,4,6,8,6
32,Male,23:11,7:00,7,180,60,20,5,7,8,7
21,Male,6:00,13:00,7,0,50,90,6.5,5,6,4
21,Female,2:00,10:00,6,10,50,40,3,3,6,4
22,Male,3:00,12:20,8,0,0,3,7,10,10,3
22,Male,0:00,9:00,10,0,0,60,8,10,10,10
21,Male,0:00,9:00,6,0,0,270,3,8,9,1
18,Female,21:30,6:10,8,0,230,3,8,8,6,6
30,Female,23:00,7:15,8,0,400,120,7,8,7,3
